timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_1_loss,path_2_loss,total_loss
67,140.15230758539317,path_1,14.0,path_1,14.07,path_1,14.0,path_1,14.0,path_1,14.01,path_1,14.0,path_1,14.07,path_1,14.0,path_1,14.0,path_1,14.0,130.15,0,0.0,0.0,0.0
68,150.15230758539317,path_1,15.0,path_1,15.07,path_1,15.0,path_1,15.0,path_1,15.01,path_1,15.0,path_1,15.07,path_1,15.0,path_1,15.0,path_1,15.0,140.15,0,0.0,0.0,0.0
69,160.15230758539317,path_1,16.0,path_1,16.07,path_1,16.0,path_1,16.0,path_1,16.01,path_1,16.0,path_1,16.07,path_1,16.0,path_1,16.0,path_1,16.0,150.15,0,0.0,0.0,0.0
70,170.15230758539317,path_1,17.0,path_1,17.07,path_1,17.0,path_1,17.0,path_1,17.01,path_1,17.0,path_1,17.07,path_1,17.0,path_1,17.0,path_1,17.0,160.15,0,0.0,0.0,0.0
71,180.15230758539317,path_1,18.0,path_1,18.07,path_1,18.0,path_1,18.0,path_1,18.01,path_1,18.0,path_1,18.07,path_1,18.0,path_1,18.0,path_1,18.0,170.15,0,0.0,0.0,0.0
72,190.15230758539317,path_1,19.0,path_1,19.07,path_1,19.0,path_1,19.0,path_1,19.01,path_1,19.0,path_1,19.07,path_1,19.0,path_1,19.0,path_1,19.0,180.15,0,0.0,0.0,0.0
73,200.15230758539317,path_1,20.0,path_1,20.07,path_1,20.0,path_1,20.0,path_1,20.01,path_1,20.0,path_1,20.07,path_1,20.0,path_1,20.0,path_1,20.0,190.15,0,0.0,0.0,0.0
74,100.07615379269659,path_1,10.0,path_1,10.04,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.04,path_1,10.0,path_1,10.0,path_1,10.0,200.15,0,0.15,0.0,0.15
75,110.07615379269659,path_1,11.0,path_1,11.04,path_1,11.0,path_1,11.0,path_1,11.01,path_1,11.0,path_1,11.04,path_1,11.0,path_1,11.0,path_1,11.0,100.08,0,0.0,0.0,0.0
76,120.07615379269659,path_1,12.0,path_1,12.04,path_1,12.0,path_1,12.0,path_1,12.01,path_1,12.0,path_1,12.04,path_1,12.0,path_1,12.0,path_1,12.0,110.08,0,0.0,0.0,0.0
